price_jod,city,district,neighborhood,property_type,area,bedrooms,bathrooms,floor,building_age,furnished,latitude,longitude,condition_score
253796.76,Amman,Al Rabieh,Northern Rabieh,apartment,253.5,2,1,1,0,no,31.976986,35.872153,0.525
228688.84,Amman,Sweifieh,7th Circle Side,house,239.4,4,2,0,12,no,31.96982,35.866356,0.382
78442.65,Amman,Jubeiha,University Area,house,77.9,4,2,6,0,no,32.013837,35.869929,0.512
187357.65,Amman,Sweifieh,Residential Sweifieh,apartment,183.0,2,2,3,13,yes,31.949128,35.847361,0.748
185282.03,Amman,Abdoun,North Abdoun,apartment,170.0,2,4,3,17,yes,31.964125,35.900087,0.632
199632.84,Amman,Dabouq,Dabouq Villas,apartment,198.7,4,3,0,14,yes,31.965689,35.824217,0.811
146333.51,Amman,Abdoun,Embassy Area,apartment,142.9,4,4,3,20,no,31.937776,35.887411,0.372
135059.51,Amman,Sweifieh,Shopping District,house,153.5,1,2,0,14,no,31.950421,35.854503,0.686
193275.73,Amman,Deir Ghbar,Upper Deir Ghbar,house,152.2,4,1,4,5,yes,31.932251,35.854253,0.477
79807.08,Amman,Marj Al Hamam,New Marj,apartment,101.1,5,2,1,10,no,31.892853,35.832499,0.6
200768.73,Amman,Dabouq,Western Dabouq,house,131.1,2,2,0,0,no,31.989515,35.830757,0.866
139195.43,Amman,Tla Al Ali,Residential Tla Al Ali,apartment,169.0,6,3,2,2,no,32.007224,35.859206,0.331
208744.8,Amman,Dabouq,Royal Area,house,125.9,2,4,5,9,yes,31.978542,35.826471,0.886
151595.16,Amman,Jubeiha,University Area,apartment,179.3,2,2,0,0,yes,32.027166,35.85981,0.787
106411.26,Amman,Sweifieh,Residential Sweifieh,apartment,125.7,3,2,0,9,no,31.958893,35.857748,0.47
134182.64,Amman,Khalda,Khalda Main,house,114.2,2,3,4,2,no,32.00026,35.828514,0.638
163015.43,Amman,Dabouq,Dabouq Villas,apartment,125.2,4,2,0,0,no,31.979818,35.82617,0.629
78059.11,Amman,Deir Ghbar,Upper Deir Ghbar,apartment,80.2,3,1,1,9,yes,31.930308,35.868544,0.465
217322.76,Amman,Khalda,University Street,house,192.6,2,3,6,0,no,31.99904,35.838779,0.477
118648.15,Amman,Sweifieh,Shopping District,apartment,127.8,3,2,5,11,no,31.954117,35.854687,0.681
137359.15,Amman,Tla Al Ali,Market Side,house,172.8,3,2,8,15,yes,32.014208,35.861643,0.561
47260.42,Amman,Marj Al Hamam,Airport Road Side,house,109.6,1,2,3,21,no,31.892866,35.834006,0.679
168279.67,Amman,Deir Ghbar,Upper Deir Ghbar,apartment,165.6,4,1,5,11,no,31.937429,35.877395,0.545
162133.08,Amman,Shmeisani,Park Side,apartment,166.2,3,1,5,3,yes,31.966456,35.896153,0.633
276879.9,Amman,Deir Ghbar,Upper Deir Ghbar,house,201.7,2,2,0,6,yes,31.938299,35.855045,0.688
253828.86,Amman,Abdoun,North Abdoun,apartment,216.0,3,4,1,0,no,31.960172,35.892381,0.3
180657.31,Amman,Deir Ghbar,Upper Deir Ghbar,apartment,167.6,2,4,3,10,yes,31.936367,35.863067,0.751
209264.26,Amman,Al Rabieh,Garden Side,apartment,176.2,5,3,6,5,yes,31.981419,35.87149,0.442
95589.96,Amman,Dabouq,Royal Area,apartment,78.8,5,2,1,2,yes,31.983762,35.833013,0.322
147902.75,Amman,Dabouq,Western Dabouq,house,96.7,3,4,2,0,no,31.976091,35.813622,0.576
145648.83,Amman,Sweifieh,Residential Sweifieh,apartment,144.6,4,4,5,7,no,31.975014,35.858515,0.421
162183.73,Amman,Tla Al Ali,Market Side,house,153.9,3,2,1,5,yes,32.001996,35.85951,0.614
80596.14,Amman,Jubeiha,Jubeiha Center,apartment,143.5,5,1,5,18,yes,32.011401,35.867,0.247
123795.02,Amman,Al Rabieh,Northern Rabieh,apartment,120.0,2,4,5,18,yes,31.974397,35.867428,0.75
89576.11,Amman,Sweifieh,Residential Sweifieh,apartment,100.0,4,2,2,14,no,31.954473,35.866215,0.7
316340.54,Amman,Dabouq,Western Dabouq,house,182.7,4,2,3,0,yes,31.976706,35.828841,0.786
149352.5,Amman,Khalda,Medical City Side,house,123.3,2,1,4,0,no,31.980426,35.852075,0.936
171717.87,Amman,Deir Ghbar,Embassy Side,house,150.6,2,3,2,17,yes,31.934052,35.858955,0.641
193714.45,Amman,Dabouq,Dabouq Villas,house,168.9,1,1,4,10,yes,31.978129,35.834933,0.587
201535.55,Amman,Dabouq,Western Dabouq,house,120.0,3,1,4,0,yes,31.981308,35.834292,0.805
292116.97,Amman,Al Rabieh,Rabieh Main,house,229.9,4,1,0,5,yes,31.985924,35.86602,0.625
129307.15,Amman,Shmeisani,Business District,house,121.0,2,1,0,0,no,31.977175,35.886154,0.444
252182.76,Amman,Dabouq,Dabouq Villas,house,177.2,3,1,4,5,no,31.995921,35.831828,0.642
142127.94,Amman,Abdoun,Embassy Area,apartment,123.4,3,4,1,22,no,31.945763,35.892227,0.747
189453.57,Amman,Shmeisani,Park Side,house,183.0,1,2,2,8,yes,31.971044,35.883453,0.732
160853.49,Amman,Tla Al Ali,Tla Al Ali Main,apartment,182.5,4,3,5,12,yes,31.994173,35.867507,0.607
192230.58,Amman,Khalda,Medical City Side,house,167.2,2,1,5,9,yes,31.995198,35.840408,0.743
169667.74,Amman,Deir Ghbar,Upper Deir Ghbar,house,131.8,3,2,1,7,yes,31.929649,35.87029,0.66
175988.13,Amman,Abdoun,North Abdoun,house,146.6,3,4,3,16,no,31.951569,35.894027,0.353
148432.73,Amman,Jubeiha,Northern Jubeiha,apartment,202.9,2,3,8,6,yes,32.023974,35.880657,0.54
190108.49,Amman,Dabouq,Royal Area,house,136.1,3,1,0,2,no,31.977757,35.83414,0.482
100709.62,Amman,Khalda,Khalda Main,apartment,110.1,4,2,2,14,yes,31.997677,35.841365,0.418
168184.65,Amman,Tla Al Ali,Residential Tla Al Ali,apartment,168.0,5,2,1,5,yes,32.001338,35.872823,0.52
93892.1,Amman,Jubeiha,Jubeiha Center,apartment,129.3,2,3,1,13,no,32.00319,35.880433,0.657
142951.14,Amman,Khalda,Khalda Main,house,127.4,3,2,3,14,yes,31.993761,35.834612,0.982
89382.27,Amman,Marj Al Hamam,Old Marj,apartment,122.1,3,4,1,11,yes,31.902719,35.845889,0.617
105780.04,Amman,Jubeiha,University Area,apartment,133.0,4,3,7,13,no,32.017935,35.877361,0.555
240338.36,Amman,Abdoun,South Abdoun,house,177.8,4,3,6,14,yes,31.950727,35.896246,0.59
187268.78,Amman,Shmeisani,Residential Shmeisani,house,171.6,3,2,6,10,yes,31.960281,35.898024,0.628
264263.74,Amman,Deir Ghbar,Upper Deir Ghbar,house,252.3,3,2,3,20,no,31.934953,35.865755,0.603
132443.51,Amman,Dabouq,Royal Area,apartment,134.9,3,3,0,10,no,31.986365,35.821838,0.494
116615.89,Amman,Shmeisani,Park Side,apartment,172.0,5,2,1,22,yes,31.954408,35.89588,0.359
141597.57,Amman,Tla Al Ali,Market Side,house,109.0,4,2,1,0,no,32.010351,35.863806,0.777
122001.83,Amman,Al Rabieh,Northern Rabieh,house,106.8,1,2,2,11,yes,31.984764,35.862339,0.577
152480.98,Amman,Sweifieh,7th Circle Side,apartment,151.3,4,3,4,13,no,31.961499,35.867404,0.701
123091.52,Amman,Tla Al Ali,Market Side,apartment,186.9,3,3,1,22,yes,31.995785,35.865397,0.613
164603.48,Amman,Tla Al Ali,Residential Tla Al Ali,house,192.8,2,2,0,6,yes,31.994713,35.869823,0.184
177049.8,Amman,Jubeiha,Northern Jubeiha,house,174.1,2,2,2,1,yes,32.019942,35.868053,0.891
150987.18,Amman,Shmeisani,Residential Shmeisani,house,164.4,1,2,1,2,no,31.982384,35.897286,0.569
198588.46,Amman,Shmeisani,Residential Shmeisani,apartment,180.8,4,3,3,4,yes,31.972554,35.899066,0.746
143467.1,Amman,Tla Al Ali,Market Side,house,202.2,2,3,3,24,yes,32.017952,35.865885,0.496
193317.81,Amman,Deir Ghbar,Lower Deir Ghbar,house,133.2,3,3,4,5,yes,31.947996,35.873593,0.616
155841.9,Amman,Sweifieh,Residential Sweifieh,house,156.7,3,3,0,7,no,31.959795,35.86263,0.32
135135.87,Amman,Marj Al Hamam,Airport Road Side,apartment,225.8,2,1,3,16,no,31.891188,35.835751,0.923
109588.43,Amman,Marj Al Hamam,Old Marj,apartment,147.2,4,3,0,19,yes,31.890021,35.830971,0.868
117269.64,Amman,Deir Ghbar,Upper Deir Ghbar,apartment,166.7,2,2,2,17,no,31.930406,35.866902,0.718
198816.27,Amman,Shmeisani,Business District,apartment,206.7,1,2,0,0,yes,31.966526,35.895226,0.829
211171.71,Amman,Abdoun,South Abdoun,apartment,176.5,3,1,5,6,yes,31.946703,35.898305,0.34
168458.11,Amman,Al Rabieh,Garden Side,house,139.3,3,2,8,12,yes,31.989512,35.872772,0.697
167482.31,Amman,Al Rabieh,Garden Side,house,146.2,3,2,4,9,yes,31.981735,35.87165,0.752
138058.88,Amman,Tla Al Ali,Residential Tla Al Ali,apartment,196.2,3,3,0,24,yes,32.013557,35.857221,0.595
171770.5,Amman,Abdoun,North Abdoun,house,107.6,2,4,2,11,yes,31.95317,35.888853,0.777
253267.3,Amman,Khalda,Medical City Side,apartment,263.2,3,2,5,17,no,31.999471,35.832199,0.834
127669.63,Amman,Sweifieh,Shopping District,house,103.4,3,2,2,11,yes,31.959953,35.869396,0.678
119672.41,Amman,Marj Al Hamam,Airport Road Side,house,144.0,4,3,0,13,no,31.892317,35.83783,0.746
217668.53,Amman,Deir Ghbar,Upper Deir Ghbar,house,160.7,3,2,0,0,no,31.927071,35.85456,0.907
108262.19,Amman,Marj Al Hamam,New Marj,house,126.2,2,4,5,4,no,31.901272,35.825926,1.0
195594.51,Amman,Shmeisani,Residential Shmeisani,apartment,258.1,2,1,5,26,no,31.973747,35.896963,0.869
152360.77,Amman,Marj Al Hamam,New Marj,house,189.2,3,2,2,4,yes,31.882549,35.827512,0.569
115084.22,Amman,Shmeisani,Park Side,house,105.3,3,3,5,0,no,31.976385,35.885923,0.442
207105.54,Amman,Dabouq,Dabouq Villas,apartment,179.8,2,2,0,5,yes,31.966849,35.835583,0.678
163200.16,Amman,Tla Al Ali,Tla Al Ali Main,apartment,179.9,3,3,3,6,yes,32.009603,35.864842,0.642
109885.82,Amman,Tla Al Ali,Residential Tla Al Ali,house,123.4,2,1,7,0,no,32.000771,35.870764,0.495
96873.06,Amman,Marj Al Hamam,New Marj,apartment,211.1,2,2,0,24,no,31.896569,35.832636,0.406
119234.46,Amman,Tla Al Ali,Residential Tla Al Ali,apartment,146.7,3,2,2,16,no,32.001898,35.854911,1.0
236908.42,Amman,Tla Al Ali,Market Side,apartment,271.1,2,4,7,5,no,32.017199,35.861846,0.722
114687.59,Amman,Shmeisani,Park Side,house,128.8,2,2,0,9,no,31.971437,35.881909,0.481
292009.18,Amman,Deir Ghbar,Upper Deir Ghbar,house,192.5,1,3,6,1,yes,31.935933,35.856565,0.921
154142.37,Amman,Shmeisani,Business District,house,180.1,3,3,0,10,no,31.969021,35.886473,0.366
236547.37,Amman,Tla Al Ali,Residential Tla Al Ali,house,210.6,4,3,0,7,no,32.006792,35.880735,0.838
124621.18,Amman,Khalda,Medical City Side,apartment,163.6,3,2,2,14,no,31.989498,35.830881,0.792
172027.24,Amman,Deir Ghbar,Embassy Side,house,177.9,2,1,3,26,yes,31.938869,35.862073,0.619
232748.84,Amman,Al Rabieh,Northern Rabieh,apartment,196.4,3,2,3,4,yes,31.981075,35.86581,0.799
117858.59,Amman,Tla Al Ali,Tla Al Ali Main,house,114.6,3,2,5,12,yes,32.011524,35.874231,0.615
210833.81,Amman,Abdoun,South Abdoun,house,155.5,2,1,2,5,no,31.950097,35.891508,0.586
189792.57,Amman,Sweifieh,Residential Sweifieh,house,176.9,3,1,0,8,no,31.9612,35.868815,0.402
149603.73,Amman,Tla Al Ali,Market Side,house,145.4,4,2,2,5,no,32.003083,35.865693,0.566
158054.41,Amman,Dabouq,Royal Area,apartment,155.1,3,3,5,0,no,31.98454,35.822932,0.16
97590.51,Amman,Deir Ghbar,Upper Deir Ghbar,house,102.3,1,3,4,5,yes,31.929176,35.864243,0.154
213022.36,Amman,Dabouq,Dabouq Villas,apartment,163.3,3,3,3,2,yes,31.97689,35.832309,0.835
126922.9,Amman,Sweifieh,Shopping District,apartment,135.1,2,2,7,0,yes,31.967298,35.856635,0.33
220619.17,Amman,Khalda,Medical City Side,apartment,201.8,2,4,4,6,no,31.99076,35.845395,1.0
224636.91,Amman,Sweifieh,Residential Sweifieh,house,213.6,5,2,1,12,no,31.971094,35.859056,0.498
151976.94,Amman,Khalda,University Street,apartment,163.3,2,1,6,4,yes,31.998757,35.8485,0.432
264050.48,Amman,Dabouq,Royal Area,house,199.8,2,1,6,7,yes,31.987297,35.836394,0.575
225933.93,Amman,Tla Al Ali,Tla Al Ali Main,apartment,252.4,2,3,3,11,no,32.009355,35.868268,0.895
99145.79,Amman,Al Rabieh,Northern Rabieh,apartment,138.6,2,1,0,23,yes,31.980751,35.869162,0.421
175492.48,Amman,Shmeisani,Residential Shmeisani,apartment,191.7,4,2,2,11,yes,31.981051,35.896237,0.575
229797.59,Amman,Deir Ghbar,Upper Deir Ghbar,house,184.8,4,2,0,12,no,31.9293,35.865605,0.503
146982.2,Amman,Deir Ghbar,Lower Deir Ghbar,apartment,156.0,3,4,3,27,no,31.920675,35.866773,0.722
186459.67,Amman,Marj Al Hamam,Old Marj,house,213.0,4,2,0,8,yes,31.890336,35.83232,0.467
151529.75,Amman,Marj Al Hamam,New Marj,house,172.8,2,3,5,5,yes,31.894503,35.822706,0.596
163237.95,Amman,Deir Ghbar,Lower Deir Ghbar,house,149.6,3,1,1,14,no,31.945089,35.858703,0.553
144776.92,Amman,Tla Al Ali,Tla Al Ali Main,house,197.0,2,1,0,18,no,32.023707,35.86055,0.521
283522.23,Amman,Dabouq,Dabouq Villas,house,224.4,5,4,6,16,no,31.983449,35.828642,0.727
106833.74,Amman,Marj Al Hamam,New Marj,house,154.8,3,2,4,16,no,31.904743,35.820208,0.636
65275.74,Amman,Marj Al Hamam,Old Marj,apartment,122.7,1,2,2,20,no,31.887231,35.841179,0.734
183489.72,Amman,Sweifieh,Residential Sweifieh,house,181.2,3,1,2,17,no,31.967803,35.854678,0.959
100590.63,Amman,Shmeisani,Park Side,apartment,161.3,1,2,2,6,no,31.973395,35.889071,0.333
81298.33,Amman,Sweifieh,7th Circle Side,apartment,60.0,3,4,7,6,yes,31.960281,35.851111,0.512
167653.16,Amman,Tla Al Ali,Residential Tla Al Ali,apartment,189.5,4,2,2,3,no,32.004215,35.867072,0.471
85856.66,Amman,Marj Al Hamam,New Marj,house,118.9,4,2,2,4,no,31.900588,35.833358,0.184
149138.62,Amman,Dabouq,Western Dabouq,apartment,158.0,4,1,1,15,no,31.980055,35.823004,0.394
173908.93,Amman,Sweifieh,Residential Sweifieh,house,153.4,1,3,1,3,no,31.96504,35.850989,0.656
245759.25,Amman,Deir Ghbar,Embassy Side,house,174.3,4,2,2,3,no,31.925495,35.841051,0.636
197400.37,Amman,Deir Ghbar,Embassy Side,house,195.7,1,1,4,23,no,31.927904,35.86022,0.624
93439.89,Amman,Marj Al Hamam,Old Marj,house,125.9,2,2,0,10,no,31.896662,35.826434,0.912
84946.08,Amman,Sweifieh,Residential Sweifieh,apartment,84.7,4,2,2,31,yes,31.951737,35.855115,0.674
158041.0,Amman,Dabouq,Dabouq Villas,apartment,160.1,2,3,1,22,yes,31.974869,35.841467,0.814
128221.62,Amman,Marj Al Hamam,New Marj,house,193.4,3,1,1,16,no,31.891574,35.821514,0.56
234329.09,Amman,Sweifieh,Residential Sweifieh,apartment,247.8,2,2,6,8,no,31.949563,35.861098,0.701
190886.99,Amman,Khalda,Medical City Side,apartment,199.4,4,5,4,11,no,31.992528,35.842569,0.655
201694.03,Amman,Deir Ghbar,Upper Deir Ghbar,house,162.6,4,1,5,18,yes,31.918147,35.857245,0.599
152836.01,Amman,Abdoun,Embassy Area,apartment,154.0,2,2,5,13,no,31.947132,35.885058,0.577
133458.49,Amman,Marj Al Hamam,Airport Road Side,apartment,227.7,3,3,6,16,yes,31.897226,35.828031,0.542
160609.73,Amman,Shmeisani,Residential Shmeisani,house,169.6,2,3,1,10,no,31.967988,35.896907,0.671
150335.61,Amman,Jubeiha,Jubeiha Center,apartment,194.2,2,2,7,2,yes,32.017397,35.870857,0.498
137593.81,Amman,Marj Al Hamam,Old Marj,apartment,177.0,4,3,4,7,yes,31.907699,35.827272,0.741
151556.8,Amman,Marj Al Hamam,New Marj,apartment,204.8,3,1,5,5,yes,31.896724,35.829533,0.604
120796.57,Amman,Khalda,Khalda Main,apartment,135.4,4,2,4,13,no,32.002602,35.836448,0.452
179530.19,Amman,Dabouq,Royal Area,apartment,171.5,5,2,2,9,no,31.9836,35.821186,0.565
122217.93,Amman,Tla Al Ali,Market Side,house,106.9,4,4,2,8,no,32.013933,35.858009,0.633
284553.47,Amman,Al Rabieh,Northern Rabieh,house,198.9,4,2,5,0,no,31.977721,35.858286,0.742
197481.41,Amman,Al Rabieh,Rabieh Main,apartment,216.8,3,3,7,18,yes,31.987495,35.871628,0.915
133398.92,Amman,Sweifieh,Shopping District,apartment,143.9,2,4,2,10,no,31.957305,35.869965,0.719
143300.96,Amman,Sweifieh,Shopping District,apartment,163.8,2,1,1,9,yes,31.952153,35.848256,0.543
111972.21,Amman,Abdoun,Embassy Area,house,87.3,4,2,0,7,no,31.951934,35.897183,0.485
196892.25,Amman,Al Rabieh,Rabieh Main,house,160.2,3,3,3,4,no,31.976728,35.878632,0.563
238143.15,Amman,Sweifieh,7th Circle Side,house,240.6,3,2,0,0,no,31.95887,35.861661,0.335
119073.51,Amman,Marj Al Hamam,Old Marj,apartment,195.3,3,2,7,15,yes,31.888162,35.813137,0.572
154717.4,Amman,Al Rabieh,Rabieh Main,house,145.5,2,2,3,7,yes,31.983481,35.874194,0.503
249102.94,Amman,Deir Ghbar,Lower Deir Ghbar,apartment,218.5,3,2,4,11,yes,31.93501,35.857213,0.792
89733.22,Amman,Khalda,Khalda Main,apartment,103.5,3,2,2,8,yes,31.991159,35.84085,0.281
109197.01,Amman,Shmeisani,Business District,house,108.8,4,1,5,12,no,31.982227,35.884445,0.504
154482.12,Amman,Marj Al Hamam,Old Marj,house,200.0,2,3,2,11,no,31.89346,35.833876,0.667
79943.51,Amman,Deir Ghbar,Upper Deir Ghbar,house,76.3,4,1,5,17,no,31.930124,35.85376,0.424
203658.06,Amman,Al Rabieh,Northern Rabieh,house,141.1,4,3,6,5,yes,31.970516,35.865459,0.582
136776.09,Amman,Jubeiha,University Area,apartment,227.7,2,2,2,11,no,32.016768,35.866283,0.474
212888.95,Amman,Sweifieh,7th Circle Side,house,179.6,3,2,2,8,yes,31.955188,35.869291,0.553
194260.64,Amman,Abdoun,Embassy Area,house,141.7,4,2,5,12,yes,31.952834,35.876804,0.601
76054.04,Amman,Marj Al Hamam,Airport Road Side,apartment,101.3,3,4,8,13,no,31.881793,35.824401,0.71
77971.38,Amman,Tla Al Ali,Market Side,apartment,127.1,3,2,0,14,no,32.007475,35.879019,0.427
74851.4,Amman,Jubeiha,Jubeiha Center,house,60.0,3,3,7,0,no,32.010543,35.868858,0.709
128346.74,Amman,Dabouq,Western Dabouq,house,87.4,3,3,5,10,yes,31.975258,35.834384,0.675
120410.36,Amman,Marj Al Hamam,Airport Road Side,house,183.0,3,3,2,17,no,31.881989,35.837033,0.611
126811.44,Amman,Abdoun,South Abdoun,apartment,125.6,2,3,0,31,no,31.951263,35.887416,0.81
167471.83,Amman,Shmeisani,Residential Shmeisani,apartment,178.5,4,3,3,8,no,31.968436,35.900736,0.593
105616.73,Amman,Deir Ghbar,Lower Deir Ghbar,house,60.0,4,2,2,6,yes,31.939633,35.85609,0.822
143790.02,Amman,Abdoun,Embassy Area,house,111.3,2,2,5,16,yes,31.954776,35.891413,0.712
113544.42,Amman,Marj Al Hamam,New Marj,apartment,174.4,4,3,5,14,no,31.901891,35.828014,0.683
157165.45,Amman,Shmeisani,Residential Shmeisani,house,147.7,2,2,2,3,yes,31.956545,35.894293,0.565
93696.99,Amman,Marj Al Hamam,Airport Road Side,apartment,118.2,4,3,0,4,yes,31.887821,35.834006,0.482
107637.74,Amman,Al Rabieh,Garden Side,apartment,143.1,1,3,0,9,yes,31.991825,35.861938,0.67
260837.98,Amman,Deir Ghbar,Upper Deir Ghbar,house,163.3,5,3,3,6,yes,31.926185,35.864835,0.765
223536.49,Amman,Sweifieh,Shopping District,house,202.7,6,3,1,9,yes,31.952137,35.855235,0.302
154624.78,Amman,Khalda,Medical City Side,house,161.9,2,3,3,9,no,31.996086,35.845976,0.561
136674.56,Amman,Shmeisani,Residential Shmeisani,house,125.4,3,1,0,6,no,31.971638,35.894155,0.777
131275.4,Amman,Sweifieh,Residential Sweifieh,apartment,148.8,3,2,3,5,no,31.95606,35.868059,0.181
204847.55,Amman,Sweifieh,Residential Sweifieh,apartment,198.4,4,2,3,5,yes,31.96131,35.866527,0.563
138862.34,Amman,Tla Al Ali,Tla Al Ali Main,house,134.7,3,3,0,0,no,31.997255,35.860943,0.521
129147.32,Amman,Shmeisani,Business District,house,134.6,4,2,3,13,no,31.977074,35.89227,0.415
80046.07,Amman,Marj Al Hamam,Old Marj,house,106.8,1,3,3,3,no,31.902278,35.819874,0.463
161889.14,Amman,Deir Ghbar,Lower Deir Ghbar,house,114.5,4,2,4,5,no,31.933286,35.854485,0.591
172308.34,Amman,Sweifieh,Shopping District,house,131.9,3,1,0,8,yes,31.962492,35.857965,1.0
163132.12,Amman,Tla Al Ali,Residential Tla Al Ali,house,156.0,4,1,5,14,yes,32.008869,35.864637,0.749
108012.12,Amman,Marj Al Hamam,Airport Road Side,house,181.6,3,2,3,20,no,31.884127,35.829353,0.397
154647.64,Amman,Khalda,Khalda Main,apartment,162.8,3,2,6,0,no,31.994277,35.828698,0.471
247997.87,Amman,Deir Ghbar,Lower Deir Ghbar,apartment,229.8,3,2,0,5,no,31.930776,35.870472,0.552
94205.51,Amman,Dabouq,Royal Area,apartment,105.0,3,3,5,20,no,31.972324,35.823697,0.437
152250.22,Amman,Khalda,Khalda Main,apartment,176.0,4,2,2,10,no,32.009627,35.828946,0.47
190802.79,Amman,Marj Al Hamam,Airport Road Side,house,246.1,3,2,2,8,no,31.878917,35.838934,0.867
156747.15,Amman,Tla Al Ali,Residential Tla Al Ali,house,143.0,3,3,0,12,yes,31.996258,35.865828,0.984
161807.73,Amman,Deir Ghbar,Embassy Side,house,174.2,3,2,4,22,no,31.938038,35.852447,0.586
117262.96,Amman,Marj Al Hamam,New Marj,apartment,176.3,4,3,2,9,yes,31.898632,35.834376,0.395
101612.59,Amman,Shmeisani,Residential Shmeisani,apartment,133.8,3,2,2,24,yes,31.967292,35.888267,0.576
