district,area_name,land_area_sqm,land_type,street_width_m,main_road_access,near_services,zoning_category,zoning_score,development_level,corner_plot,shape_regular,slope_level,lat,lng,asking_price_jod,price_per_sqm_jod,estimated_market_value_jod,fairness_label
Khalda,Khalda Circle,1306.35,residential,10.0,0,1,B,8,prime,1,1,flat,32.018275,35.851846,827287.46,660.0,862187.98,Fair Price
Al Jubeiha,Jubeiha University Side,321.95,residential,12.0,0,1,A,9,medium,1,1,flat,32.028089,35.869976,93294.6,363.61,117062.43,Underpriced
Naour,Naour West,641.26,residential,20.0,1,1,D,5,medium,0,1,moderate,31.865788,35.753757,130287.32,158.0,101318.98,Overpriced
Abdoun,South Abdoun,773.26,commercial,12.0,1,0,commercial_general,10,prime,0,0,flat,31.948559,35.887241,1877425.14,2339.75,1809236.35,Fair Price
Naour,Naour Center,250.0,residential,8.0,1,1,A,9,medium,0,1,flat,31.864361,35.760687,29501.57,132.48,33120.63,Underpriced
Naour,Naour Center,868.92,residential,6.0,1,0,A,9,medium,0,1,flat,31.867421,35.755377,98513.16,156.1,135634.87,Underpriced
Sahab,Sahab Industrial Edge,1229.13,commercial,12.0,0,1,commercial_local,8,high,1,1,flat,31.870252,36.00587,266780.15,269.42,331150.78,Underpriced
Marj Al Hamam,Marj Hills,993.18,residential,14.0,0,1,D,5,high,1,0,moderate,31.886052,35.791354,321639.65,266.71,264894.0,Overpriced
Dabouq,Dabouq Villas,1059.41,commercial,16.0,1,1,commercial_local,8,high,1,1,flat,31.992376,35.827941,2500856.04,1955.0,2071137.58,Overpriced
Marka,Marka North,4020.75,agricultural,8.0,1,0,agricultural,3,low,0,0,flat,31.994641,35.959887,294375.55,71.09,285841.89,Fair Price
Dabouq,Airport Road West,471.04,residential,10.0,1,1,B,8,prime,0,1,moderate,31.996767,35.836642,437273.56,1067.08,502638.63,Underpriced
Tla Al Ali,Tla Al Ali East,1180.45,commercial,14.0,0,0,commercial_local,8,high,1,0,moderate,32.006732,35.862546,959206.43,789.45,931908.48,Fair Price
Tla Al Ali,Tla Al Ali East,1822.51,agricultural,8.0,0,0,agricultural,3,medium,0,1,steep,32.009139,35.865353,182718.4,95.71,174430.83,Fair Price
Naour,Naour West,632.64,residential,20.0,0,1,B,8,high,1,0,flat,31.876892,35.760487,167910.06,192.12,121545.15,Overpriced
Al Jubeiha,Jubeiha North,942.87,residential,24.0,0,1,B,8,high,1,1,moderate,32.023284,35.872666,316644.33,338.2,318879.47,Fair Price
Al Jubeiha,Jubeiha North,911.14,residential,8.0,0,1,B,8,low,0,0,moderate,32.023486,35.858228,212908.13,236.61,215583.61,Fair Price
Deir Ghbar,Deir Ghbar South,3537.18,agricultural,30.0,0,1,agricultural,3,medium,0,1,flat,31.926332,35.840418,690373.0,194.28,687191.49,Fair Price
Khalda,Khalda North,630.72,commercial,16.0,1,1,commercial_local,8,prime,0,1,steep,32.034271,35.84676,357705.47,651.25,410754.13,Underpriced
Sweileh,Sweileh Center,847.78,residential,10.0,0,0,D,5,medium,0,1,flat,32.023569,35.852231,291790.29,351.18,297726.64,Fair Price
Deir Ghbar,Deir Ghbar Heights,815.17,residential,12.0,1,1,D,5,high,0,1,moderate,31.928821,35.844517,566652.9,677.92,552620.13,Fair Price
Abdoun,North Abdoun,996.07,residential,12.0,0,1,D,5,prime,0,1,flat,31.947149,35.872607,1034555.09,1102.68,1098351.31,Fair Price
Sweileh,Sweileh North,934.25,commercial,10.0,0,1,commercial_general,10,low,0,1,flat,32.02916,35.85719,483206.83,503.73,470606.51,Fair Price
Um Uthaina,Um Uthaina South,480.43,residential,12.0,0,1,C,6,prime,0,1,moderate,31.967685,35.881476,501893.26,1084.03,520806.01,Fair Price
Tabarbour,Inner Neighborhood,1060.23,residential,12.0,0,1,C,6,high,0,0,flat,31.994733,35.925989,274437.43,258.75,274338.88,Fair Price
Marka,Marka North,715.04,commercial,16.0,1,1,commercial_local,8,high,0,1,moderate,31.995235,35.948494,292962.79,393.66,281482.51,Fair Price
Sahab,Sahab Center,861.71,residential,16.0,0,1,B,8,high,0,0,flat,31.866748,36.007668,145807.1,151.3,130378.57,Overpriced
Shmeisani,Central Shmeisani,3212.88,agricultural,12.0,0,0,agricultural,3,high,0,1,steep,31.968942,35.880244,429759.11,137.12,440547.34,Fair Price
Jabal Amman,4th Circle,403.22,residential,10.0,0,1,B,8,prime,0,1,moderate,31.955095,35.912456,341293.97,802.6,323623.22,Fair Price
Um Uthaina,Um Uthaina South,674.72,residential,8.0,0,0,B,8,medium,0,1,steep,31.972459,35.879341,428307.97,630.12,425149.12,Fair Price
Tla Al Ali,Tla Al Ali West,428.53,commercial,20.0,1,1,commercial_local,8,high,0,1,steep,32.014518,35.874686,472431.88,959.46,411155.27,Overpriced
Deir Ghbar,Deir Ghbar Heights,857.62,residential,16.0,0,0,D,5,prime,0,1,moderate,31.932777,35.838663,747134.86,862.99,740119.53,Fair Price
Sahab,Sahab Industrial Edge,800.97,residential,6.0,1,1,B,8,high,1,1,moderate,31.868557,36.003659,153585.1,198.0,158591.65,Fair Price
Khalda,Khalda Circle,682.06,residential,16.0,1,1,C,6,high,0,1,flat,32.022556,35.84808,304024.14,467.29,318720.17,Fair Price
Um Uthaina,Um Uthaina North,871.54,commercial,30.0,1,1,commercial_local,8,high,0,0,steep,31.95962,35.871471,1189900.44,1666.78,1452655.42,Underpriced
Abdoun,South Abdoun,1285.21,residential,16.0,1,1,C,6,prime,0,1,moderate,31.937799,35.874809,1880753.29,1393.57,1791028.78,Fair Price
Um Uthaina,Um Uthaina North,535.95,residential,6.0,1,1,D,5,high,1,0,flat,31.970534,35.876588,629364.01,950.65,509499.99,Overpriced
Khalda,Khalda North,1235.78,commercial,8.0,1,1,commercial_local,8,medium,0,1,flat,32.021042,35.860549,858026.33,737.61,911522.97,Fair Price
Marka,Marka South,800.0,agricultural,8.0,1,0,agricultural,3,low,0,0,moderate,31.996849,35.954304,41207.75,47.37,37894.07,Fair Price
Tla Al Ali,Tla Al Ali West,850.22,residential,8.0,0,1,C,6,prime,0,1,moderate,32.00912,35.869138,383807.81,391.44,332808.93,Overpriced
Abdoun,South Abdoun,597.88,residential,12.0,0,0,D,5,high,0,1,moderate,31.941414,35.880661,665506.39,1018.46,608914.28,Fair Price
Dabouq,Dabouq Villas,609.09,residential,16.0,0,1,C,6,prime,0,0,steep,31.994926,35.834265,443939.76,763.2,464855.15,Fair Price
Dabouq,Airport Road West,725.37,residential,6.0,0,1,A,9,prime,0,1,flat,31.992272,35.832377,1036302.4,1151.75,835444.01,Overpriced
Marka,Marka South,619.02,residential,16.0,0,1,D,5,prime,0,1,moderate,31.995241,35.938536,173025.81,288.2,178401.46,Fair Price
Sweileh,Sweileh North,1003.57,residential,12.0,0,1,D,5,prime,0,1,steep,32.024087,35.859068,295578.8,324.11,325262.62,Fair Price
Sweileh,Sweileh North,360.54,residential,6.0,0,1,B,8,medium,1,1,flat,32.028944,35.858486,180122.3,473.0,170533.81,Fair Price
Al Jubeiha,Jubeiha North,2143.43,agricultural,12.0,0,1,agricultural,3,high,0,0,flat,32.028705,35.874038,368132.06,160.89,344863.19,Fair Price
Tabarbour,Inner Neighborhood,886.03,residential,20.0,1,1,D,5,high,0,1,flat,31.987201,35.934741,206481.13,269.49,238772.35,Underpriced
Um Uthaina,Um Uthaina North,1088.69,commercial,20.0,0,0,commercial_general,10,medium,0,1,moderate,31.967311,35.886105,1464482.16,1398.45,1522477.32,Fair Price
Marka,Marka North,741.66,residential,8.0,1,1,C,6,prime,0,1,flat,31.98658,35.960243,177371.75,223.7,165912.88,Fair Price
Sahab,Sahab Center,645.48,residential,8.0,1,1,C,6,prime,0,1,flat,31.867115,36.017264,148784.9,198.0,127805.73,Overpriced
Dabouq,Dabouq Villas,948.96,residential,24.0,0,1,C,6,high,0,1,moderate,31.99571,35.836066,1211906.1,1320.0,1252630.85,Fair Price
Tabarbour,Tabarbour Main,343.84,residential,12.0,0,1,D,5,medium,0,1,flat,31.988742,35.937913,121957.71,277.3,95346.98,Overpriced
Abdoun,North Abdoun,1688.14,agricultural,6.0,0,0,agricultural,3,prime,0,1,moderate,31.945408,35.888819,422515.54,274.12,462753.49,Fair Price
Marj Al Hamam,Marj Center,947.37,residential,12.0,0,1,B,8,high,1,1,moderate,31.875828,35.791951,216000.29,276.32,261773.02,Underpriced
Marka,Marka North,823.5,residential,14.0,0,1,C,6,low,0,1,flat,31.995804,35.94661,110322.43,153.74,126604.26,Underpriced
Um Uthaina,Um Uthaina North,794.24,residential,16.0,0,1,D,5,high,0,1,flat,31.968244,35.86641,1065051.58,1320.0,1048401.31,Fair Price
Shmeisani,Central Shmeisani,925.99,residential,12.0,1,1,D,5,high,0,0,steep,31.954126,35.884212,797178.2,762.21,705801.29,Overpriced
Tabarbour,Tabarbour Main,250.0,residential,12.0,0,1,C,6,high,1,1,moderate,31.987407,35.924884,94551.3,343.58,85893.99,Overpriced
Dabouq,Dabouq Villas,1033.69,residential,24.0,0,1,B,8,medium,1,1,steep,31.990355,35.823432,1246917.12,1104.06,1141255.16,Fair Price
Jabal Amman,4th Circle,629.83,residential,8.0,0,0,B,8,high,0,1,flat,31.942858,35.916138,814874.83,1295.81,816142.02,Fair Price
Tabarbour,Inner Neighborhood,726.77,residential,14.0,0,1,B,8,high,0,1,flat,31.987706,35.917106,164223.2,239.03,173719.27,Fair Price
Khalda,Khalda North,771.33,commercial,16.0,0,1,commercial_local,8,prime,0,1,moderate,32.030097,35.854955,628283.52,700.4,540238.42,Overpriced
Jabal Amman,1st Circle,759.05,commercial,20.0,1,1,commercial_local,8,high,0,1,flat,31.942004,35.917782,1154390.07,1512.39,1147976.44,Fair Price
Khalda,Khalda Circle,764.26,residential,20.0,0,1,A,9,prime,0,1,moderate,32.024923,35.849557,563353.96,660.0,504409.53,Overpriced
Abdoun,South Abdoun,381.64,residential,20.0,0,1,A,9,high,0,1,moderate,31.944196,35.875182,625554.79,1540.0,587730.98,Fair Price
Deir Ghbar,Deir Ghbar South,359.55,residential,16.0,0,1,D,5,prime,0,1,flat,31.939361,35.841171,314082.82,844.96,303803.71,Fair Price
Tla Al Ali,Tla Al Ali West,352.45,residential,20.0,0,1,B,8,high,0,0,flat,32.002247,35.86036,178008.91,547.04,192804.83,Fair Price
Khalda,Khalda North,889.43,commercial,12.0,0,1,commercial_general,10,medium,0,0,steep,32.019379,35.850256,629467.46,894.18,795310.1,Underpriced
Khalda,Khalda North,1807.92,agricultural,16.0,0,0,agricultural,3,high,0,1,flat,32.024262,35.844805,233843.36,131.12,237062.72,Fair Price
Jabal Amman,4th Circle,1699.58,agricultural,12.0,1,1,agricultural,3,medium,1,1,steep,31.955073,35.916537,350006.56,204.14,346955.77,Fair Price
Abdoun,South Abdoun,2363.0,agricultural,14.0,0,0,agricultural,3,high,0,1,moderate,31.945501,35.876863,418815.45,210.35,497060.99,Underpriced
Naour,Naour West,658.44,commercial,16.0,1,1,commercial_general,10,prime,0,1,flat,31.87183,35.770405,290170.2,437.0,287738.72,Fair Price
Deir Ghbar,Deir Ghbar South,643.58,commercial,6.0,1,1,commercial_local,8,medium,0,0,flat,31.932601,35.842517,934882.3,1205.78,776009.16,Overpriced
Dabouq,Airport Road West,800.0,agricultural,14.0,0,0,agricultural,3,medium,0,1,steep,31.995095,35.837671,175316.98,211.49,169194.46,Fair Price
Khalda,Khalda North,718.18,residential,12.0,0,1,A,9,high,1,0,flat,32.024821,35.850434,451808.37,622.2,446856.09,Fair Price
Um Uthaina,Um Uthaina North,2399.32,agricultural,16.0,0,0,agricultural,3,high,0,1,flat,31.96392,35.881654,644754.38,277.41,665586.86,Fair Price
Marj Al Hamam,Marj Hills,3866.07,agricultural,14.0,0,0,agricultural,3,medium,0,0,steep,31.889363,35.793316,260367.31,62.97,243461.49,Fair Price
Um Uthaina,Um Uthaina South,660.5,residential,16.0,0,1,A,9,high,0,1,flat,31.966147,35.871849,605019.48,992.41,655481.83,Fair Price
Jabal Amman,4th Circle,874.59,residential,6.0,0,1,D,5,high,0,1,flat,31.956356,35.921633,1182122.96,1386.41,1212538.11,Fair Price
Al Jubeiha,Jubeiha North,774.18,residential,10.0,0,1,C,6,prime,0,1,flat,32.038414,35.860057,218853.09,299.08,231545.78,Fair Price
Shmeisani,Central Shmeisani,781.35,residential,14.0,0,0,C,6,medium,0,1,flat,31.965301,35.882301,483786.13,654.51,511399.91,Fair Price
Um Uthaina,Um Uthaina South,3685.57,agricultural,24.0,1,0,agricultural,3,prime,1,0,steep,31.96796,35.873708,533105.27,222.55,820236.64,Underpriced
Abdoun,South Abdoun,578.31,residential,14.0,1,1,A,9,prime,0,1,flat,31.939634,35.875793,968871.06,1540.0,890595.44,Fair Price
Shmeisani,Central Shmeisani,521.47,residential,16.0,1,0,B,8,prime,0,1,steep,31.966927,35.878746,373060.46,912.91,476050.54,Underpriced
Marj Al Hamam,Marj Hills,519.62,residential,12.0,0,1,B,8,high,0,0,flat,31.880588,35.791425,100208.11,208.9,108551.23,Fair Price
Deir Ghbar,Deir Ghbar Heights,551.09,residential,6.0,0,1,C,6,high,0,1,flat,31.941635,35.837628,451103.9,797.77,439641.23,Fair Price
Khalda,Khalda North,759.24,residential,20.0,0,1,C,6,low,0,1,flat,32.018879,35.850149,532127.73,628.12,476893.69,Overpriced
Jabal Amman,4th Circle,789.88,residential,16.0,0,0,A,9,high,0,1,flat,31.955052,35.915482,1063582.63,1252.47,989304.59,Fair Price
Abdoun,North Abdoun,3190.56,agricultural,8.0,1,0,agricultural,3,high,0,1,flat,31.947145,35.879081,1087941.58,343.87,1097130.98,Fair Price
Marj Al Hamam,Marj Hills,849.99,residential,20.0,0,1,D,5,medium,0,1,flat,31.889316,35.790456,173953.18,197.67,168013.7,Fair Price
Tla Al Ali,Tla Al Ali East,1160.78,residential,12.0,0,0,C,6,medium,0,1,flat,32.003489,35.872374,398842.79,321.13,372759.69,Fair Price
Sahab,Sahab Center,581.37,residential,16.0,0,1,B,8,medium,0,1,moderate,31.868854,36.007919,59924.41,124.01,72096.43,Underpriced
Tabarbour,Tabarbour Main,732.99,residential,8.0,0,1,B,8,medium,1,1,flat,31.995713,35.935623,243524.64,352.0,258013.97,Fair Price
Sahab,Sahab Industrial Edge,874.63,commercial,20.0,0,1,commercial_general,10,high,0,0,flat,31.875946,36.006412,240379.39,251.54,220001.75,Fair Price
Marj Al Hamam,Marj Hills,1212.25,commercial,20.0,1,1,commercial_local,8,low,0,1,flat,31.884834,35.793345,514693.52,388.56,471027.06,Fair Price
Tabarbour,Tabarbour Main,533.9,residential,10.0,0,1,B,8,high,0,0,flat,32.00552,35.927921,176433.83,345.02,184204.11,Fair Price
Sahab,Sahab Center,793.39,residential,14.0,0,0,A,9,medium,0,1,moderate,31.873215,36.002996,117708.66,136.39,108210.08,Fair Price
Shmeisani,Central Shmeisani,2669.16,agricultural,8.0,0,0,agricultural,3,prime,0,1,flat,31.972355,35.888984,682603.16,191.2,510350.67,Overpriced
Al Jubeiha,Jubeiha North,1660.59,agricultural,12.0,0,0,agricultural,3,medium,0,1,moderate,32.034285,35.872317,217149.89,127.19,211208.23,Fair Price
Khalda,Khalda North,800.0,agricultural,20.0,1,0,agricultural,3,high,0,1,flat,32.020504,35.848202,107245.18,137.02,109616.94,Fair Price
Deir Ghbar,Deir Ghbar South,532.92,residential,14.0,0,1,C,6,prime,0,0,moderate,31.936749,35.842612,560425.82,910.49,485216.16,Overpriced
Abdoun,North Abdoun,723.2,residential,16.0,0,1,D,5,prime,0,0,moderate,31.940052,35.880289,1144388.25,1253.58,906587.13,Overpriced
Tabarbour,Inner Neighborhood,472.16,residential,12.0,0,1,A,9,prime,0,1,flat,32.000532,35.925567,176019.04,352.0,166200.63,Fair Price
Marj Al Hamam,Marj Center,611.51,commercial,6.0,0,0,commercial_general,10,medium,0,1,flat,31.887494,35.794357,194930.16,446.0,272734.44,Underpriced
Marka,Marka North,675.15,residential,12.0,0,1,C,6,medium,0,1,flat,31.997841,35.954996,91453.46,159.99,108020.65,Underpriced
Dabouq,Dabouq Villas,263.65,residential,14.0,0,0,A,9,high,0,0,flat,31.99637,35.822308,272679.66,903.82,238288.83,Overpriced
Naour,Naour Center,1079.77,commercial,20.0,0,1,commercial_local,8,low,0,1,moderate,31.870662,35.758287,346374.04,277.75,299910.81,Overpriced
Khalda,Khalda North,898.19,commercial,12.0,0,1,commercial_general,10,medium,0,1,moderate,32.026888,35.854918,468013.3,729.79,655486.91,Underpriced
Abdoun,North Abdoun,4163.92,agricultural,8.0,0,0,agricultural,3,high,1,1,flat,31.945381,35.894221,869782.48,189.68,789797.74,Overpriced
Marka,Marka South,250.0,commercial,6.0,1,0,commercial_local,8,medium,1,1,moderate,31.997797,35.949795,90891.74,492.89,123221.83,Underpriced
Tla Al Ali,Tla Al Ali West,998.13,residential,24.0,0,0,B,8,high,0,1,flat,32.007255,35.861142,554595.17,572.0,570930.85,Fair Price
Tabarbour,Inner Neighborhood,638.42,residential,16.0,1,1,C,6,high,0,1,moderate,31.992673,35.933762,242752.53,352.0,224723.71,Fair Price
Khalda,Khalda North,270.96,commercial,8.0,1,1,commercial_local,8,high,1,1,moderate,32.027649,35.845547,262149.49,1055.85,286097.85,Fair Price
Tabarbour,Inner Neighborhood,520.83,residential,8.0,0,1,D,5,high,1,1,flat,31.988514,35.936105,136681.45,283.97,147899.69,Fair Price
Marj Al Hamam,Marj Center,298.87,commercial,12.0,1,1,commercial_local,8,medium,0,0,flat,31.894199,35.784628,114233.81,377.58,112846.17,Fair Price
Marka,Marka South,544.73,commercial,12.0,1,0,commercial_general,10,high,0,1,moderate,32.006716,35.947931,341806.27,571.32,311216.07,Fair Price
Marj Al Hamam,Marj Center,844.46,residential,24.0,0,1,C,6,medium,1,1,flat,31.880091,35.79215,184211.08,240.48,203074.76,Fair Price
Shmeisani,Central Shmeisani,872.25,residential,16.0,0,1,D,5,prime,0,1,moderate,31.967453,35.889692,486984.03,624.33,544571.73,Underpriced
Um Uthaina,Um Uthaina South,696.93,residential,12.0,0,1,B,8,high,0,1,steep,31.962842,35.882213,804729.22,912.59,636010.36,Overpriced
Dabouq,Airport Road West,1742.31,agricultural,16.0,1,1,agricultural,3,high,1,1,moderate,31.998848,35.832973,511090.43,316.16,550848.05,Fair Price
Marj Al Hamam,Marj Center,1045.37,commercial,6.0,1,1,commercial_general,10,high,0,1,moderate,31.885038,35.783097,395012.75,381.07,398359.59,Fair Price
Sweileh,Sweileh Center,595.34,residential,12.0,0,1,D,5,high,1,1,steep,32.017701,35.860379,258532.3,414.0,246473.01,Fair Price
Marka,Marka South,709.52,residential,6.0,1,1,B,8,high,0,0,moderate,31.985617,35.95214,142935.53,183.01,129853.07,Overpriced
Shmeisani,West Shmeisani,920.51,commercial,20.0,0,1,commercial_general,10,high,0,1,flat,31.968612,35.898001,1230084.13,1307.61,1203663.99,Fair Price
Al Jubeiha,Jubeiha North,532.36,residential,12.0,1,0,B,8,high,0,1,steep,32.036475,35.869455,214013.54,374.0,199100.49,Fair Price
Um Uthaina,Um Uthaina South,2963.79,agricultural,20.0,0,0,agricultural,3,prime,0,1,flat,31.963553,35.885762,755950.53,223.45,662257.89,Overpriced
Um Uthaina,Um Uthaina North,764.98,commercial,6.0,1,1,commercial_local,8,high,0,1,moderate,31.965966,35.883117,1453429.4,2070.0,1583509.52,Fair Price
Sweileh,Sweileh North,879.21,commercial,14.0,1,1,commercial_local,8,high,0,1,steep,32.024749,35.857029,757494.6,897.0,788650.33,Fair Price
Naour,Naour Center,1697.77,agricultural,14.0,0,0,agricultural,3,high,0,0,flat,31.866689,35.762602,117286.36,89.45,151873.74,Underpriced
Abdoun,South Abdoun,715.24,residential,30.0,1,1,C,6,prime,0,1,flat,31.93857,35.876676,962021.83,1390.31,994404.8,Fair Price
Sahab,Sahab Industrial Edge,878.94,residential,12.0,0,1,B,8,medium,0,1,flat,31.871043,36.011781,154848.08,192.08,168829.51,Fair Price
Um Uthaina,Um Uthaina North,316.01,residential,6.0,1,1,D,5,medium,0,0,steep,31.970295,35.880724,236239.56,833.82,263494.92,Underpriced
Sweileh,Sweileh Center,912.14,residential,24.0,0,1,D,5,prime,1,0,steep,32.028179,35.856589,282655.81,307.39,280382.84,Fair Price
Dabouq,Dabouq Villas,959.05,residential,8.0,0,1,B,8,prime,0,1,steep,31.991237,35.841127,585587.57,723.64,694015.03,Underpriced
Marka,Marka South,714.1,residential,12.0,0,1,D,5,medium,1,1,flat,31.987006,35.955607,181773.6,269.76,192635.11,Fair Price
Abdoun,North Abdoun,1137.6,agricultural,6.0,1,0,agricultural,3,high,0,1,steep,31.946492,35.883126,148764.79,162.25,184579.75,Underpriced
Sahab,Sahab Center,595.34,residential,20.0,0,1,C,6,medium,0,1,moderate,31.868263,36.002648,76975.23,136.92,81511.86,Fair Price
Shmeisani,Central Shmeisani,1066.04,residential,10.0,0,1,A,9,prime,0,1,flat,31.964477,35.893638,934990.18,935.0,996744.17,Fair Price
Naour,Naour Center,659.6,commercial,12.0,1,1,commercial_local,8,medium,1,1,moderate,31.86515,35.761598,229787.94,337.11,222361.09,Fair Price
Khalda,Khalda North,574.1,residential,10.0,0,1,A,9,medium,1,1,flat,32.028794,35.839526,201049.65,399.65,229441.74,Underpriced
Marj Al Hamam,Marj Center,1143.69,residential,14.0,0,0,A,9,prime,1,1,flat,31.885516,35.796049,289213.95,250.61,286620.63,Fair Price
